,0
223,0.070806414
224,0.07062739
225,0.070184566
226,0.07065835
227,0.07022869
228,0.07109934
229,0.07043305
230,0.07008304
231,0.069864005
232,0.070794374
233,0.069824986
234,0.07006815
235,0.07020153
236,0.07064426
237,0.069911115
238,0.069982976
239,0.07018525
240,0.069659926
241,0.07016273
242,0.069459535
243,0.069832675
244,0.06987321
245,0.06974595
246,0.06963715
247,0.06945999
248,0.06994059
249,0.069529615
250,0.06951255
251,0.06959814
252,0.06932697
253,0.070359446
254,0.06955761
255,0.0693899
256,0.06906808
257,0.06967094
258,0.06923283
259,0.06910091
260,0.06961467
261,0.06957063
262,0.07004706
263,0.06974246
264,0.06938347
265,0.06947129
266,0.06951319
267,0.069209486
268,0.06923134
269,0.06906336
270,0.06893706
271,0.06954984
272,0.06921814
273,0.068945214
274,0.06928236
275,0.06913575
276,0.068980575
277,0.06949881
278,0.06902128
279,0.06961023
280,0.06900895
281,0.06876268
282,0.0693471
283,0.06873994
284,0.06882668
285,0.06911708
286,0.068427674
287,0.06892123
288,0.06880485
289,0.068571985
290,0.06884331
291,0.06846348
292,0.06899823
293,0.069088995
294,0.06839609
295,0.06862863
296,0.06830328
297,0.069397174
298,0.068606615
299,0.0683847
300,0.06854816
301,0.06854867
302,0.06903403
303,0.06809607
304,0.06842173
305,0.06814904
306,0.068792455
307,0.06792114
308,0.06887223
309,0.06894135
310,0.0686604
311,0.06868467
312,0.06813345
313,0.06824622
314,0.06803164
315,0.067873195
316,0.06788327
317,0.06810292
318,0.06770069
319,0.067818016
320,0.06859777
321,0.06787161
322,0.06882217
323,0.06772087
324,0.06834203
325,0.068678364
326,0.06782137
327,0.06771621
328,0.0678878
329,0.06796179
330,0.0686243
331,0.0673001
332,0.06799481
333,0.067608744
334,0.06759006
335,0.06779612
336,0.06724953
337,0.0682476
338,0.067762226
339,0.06777723
340,0.06786183
341,0.068092436
342,0.0675289
343,0.06742641
344,0.06783208
345,0.06773963
346,0.06708287
347,0.067094214
348,0.06743888
349,0.06743558
350,0.06728947
351,0.067196906
352,0.06722852
353,0.067021735
354,0.067458384
355,0.067253895
356,0.06738169
357,0.067431144
358,0.067351595
359,0.067203
360,0.06722683
361,0.06655996
362,0.06708148
363,0.06688971
364,0.06719458
365,0.06713619
366,0.067299165
367,0.06671542
368,0.06669595
369,0.06664336
370,0.06681256
371,0.06653312
372,0.06664533
373,0.06732126
374,0.06653528
375,0.06676752
376,0.067164585
377,0.06624317
378,0.066969156
379,0.06743119
380,0.06642806
381,0.06735635
382,0.06686505
383,0.0664283
384,0.06686062
385,0.067056544
386,0.06696731
387,0.0665584
388,0.06754468
389,0.06639111
390,0.06657299
391,0.06601903
392,0.06614028
393,0.06624776
394,0.06698848
395,0.06591228
396,0.06679503
397,0.066154964
398,0.066056386
399,0.0660973
400,0.06623071
401,0.06617145
402,0.06677427
403,0.06579739
404,0.06623069
405,0.06575889
406,0.065909244
407,0.06668974
408,0.06560937
409,0.06581027
410,0.065937705
411,0.06554064
412,0.06633235
413,0.06726284
414,0.06579569
415,0.06600458
416,0.06575274
417,0.06626972
418,0.06524145
419,0.06588732
420,0.06549702
421,0.065824665
422,0.06574314
423,0.06569948
424,0.0658966
425,0.065446205
426,0.06539056
427,0.06504524
428,0.066926755
429,0.06513274
430,0.065294534
431,0.06526338
432,0.06519746
433,0.0646807
434,0.06540454
435,0.06521725
436,0.065205805
437,0.06515887
438,0.064935714
439,0.06539031
440,0.06503899
441,0.066690944
442,0.06476865
443,0.06486402
444,0.06508622
445,0.0654302
446,0.06565624
447,0.06525506
448,0.06534789
449,0.0650008
450,0.06456537
451,0.06553212
452,0.0645283
453,0.06496088
454,0.06481529
455,0.064312115
456,0.06538843
457,0.064589
458,0.065337695
459,0.06507139
460,0.064296894
461,0.06414657
462,0.064638056
463,0.06418975
464,0.0647916
465,0.064409316
466,0.064495146
467,0.06417346
468,0.06486762
469,0.06490829
470,0.064327754
471,0.064205386
472,0.06447642
473,0.06461678
474,0.06430502
475,0.063967325
476,0.06413715
477,0.064248264
478,0.06420493
479,0.064271905
480,0.064159974
481,0.06418928
482,0.06388885
483,0.06451916
484,0.06378015
485,0.063496165
486,0.06406986
487,0.06377795
488,0.06459588
489,0.06378585
490,0.06395334
491,0.06384677
492,0.06378475
493,0.064316
494,0.06386579
495,0.063344926
496,0.06370003
497,0.06380278
498,0.06319106
499,0.06388037
500,0.06347121
501,0.06388693
502,0.06347296
503,0.06303374
504,0.06329357
505,0.06370804
506,0.063586496
507,0.06365022
508,0.06343676
509,0.06371927
510,0.0634026
511,0.063590184
512,0.06410998
513,0.06312454
514,0.06303074
515,0.06323573
516,0.06316175
517,0.06365658
518,0.063077666
519,0.06341895
520,0.062931284
521,0.06263371
522,0.06278816
523,0.06302619
524,0.063984185
525,0.06289395
526,0.06323055
527,0.06363246
528,0.06291077
529,0.062483765
530,0.06314144
531,0.06338802
532,0.062556796
533,0.0629211
534,0.063923985
535,0.06259412
536,0.062482443
537,0.06337009
538,0.062771715
539,0.062411077
540,0.06237746
541,0.062743925
542,0.062315322
543,0.06200901
544,0.062826924
545,0.06327272
546,0.06205865
547,0.06305608
548,0.06299894
549,0.061935645
550,0.062128086
551,0.062267013
552,0.0625185
553,0.061910473
554,0.062078603
555,0.06227984
556,0.063105695
557,0.062048532
558,0.061895184
559,0.062094606
560,0.061909124
561,0.062149517
562,0.06202386
563,0.061955296
564,0.06194466
565,0.062142167
566,0.062489968
567,0.061869245
568,0.062222555
569,0.06183776
570,0.06168256
571,0.061625898
572,0.061828703
573,0.06198506
574,0.061424952
575,0.061665036
576,0.06215389
577,0.06199388
578,0.06166289
579,0.061740424
580,0.061636843
581,0.061811667
582,0.06145588
583,0.06146703
584,0.061584085
585,0.06269292
586,0.061391268
587,0.061808772
588,0.062304646
589,0.061442506
590,0.06192259
591,0.06164138
592,0.06191293
593,0.060861833
594,0.06154768
595,0.06133978
596,0.061677944
597,0.061696783
598,0.061308037
599,0.060865924
