,origin_station_name,destination_station_name,origin_date,hour_,transfer_time1,avg_time1,full_price1,via_stations1,hourly_cnt1,od_ratio1,transfer_time2,avg_time2,full_price2,via_stations2,hourly_cnt2,od_ratio2,transfer_time3,avg_time3,full_price3,via_stations3,hourly_cnt3,od_ratio3,transfer_time4,avg_time4,full_price4,via_stations4,hourly_cnt4,od_ratio4,transfer_time5,avg_time5,full_price5,via_stations5,hourly_cnt5,od_ratio5
0,联桂北站,大策站,2022-03-07,10,0,1.839,2.0,1.0,6,0.2307692307692308,0,2.1398,1.0,1.0,7,0.3846153846153846,0.0,1.3165,0.0,1.0,4.0,0.1538461538461539,0.0,1.6415,2.0,1.0,7.0,0.1538461538461539,0.0,2.05,2.0,1.0,5.0,0.07692307692307693
0,金名都站,地铁浔峰岗站,2022-03-07,11,0,8.966800000000003,2.0,3.0,4,0.2083333333333333,0,8.851818181818182,1.0,3.0,9,0.4583333333333333,0.0,9.829375,1.0,3.0,10.0,0.3333333333333333,,,,,,,,,,,,
0,仓边路站,麓景路站,2022-03-07,9,0,8.667000000000002,0.0,4.0,5,0.1666666666666667,0,13.475,2.0,4.0,10,0.3333333333333333,0.0,12.433,0.0,4.0,7.0,0.08333333333333333,0.0,12.4136,1.0,3.0,5.0,0.4166666666666667,,,,,,
0,和平新村站,广医站,2022-03-07,9,0,26.3866,2.0,10.0,5,0.1851851851851852,0,7.6332,2.0,3.0,4,0.1851851851851852,0.0,7.752833333333334,2.0,3.0,8.0,0.2222222222222222,0.0,8.42,2.0,3.0,4.0,0.1851851851851852,0.0,7.841666666666666,2.0,1.0,3.0,0.2222222222222222
0,太和（谢家庄）站,一一五中学站,2022-03-07,7,0,8.7375,1.5,4.0,7,0.1025641025641026,0,9.690514285714283,3.0,4.0,10,0.8974358974358975,,,,,,,,,,,,,,,,,,
0,国防大厦站,员村站,2022-03-07,20,0,7.322,1.2,3.0,5,0.2142857142857143,0,5.683,2.0,3.0,4,0.07142857142857142,0.0,5.2932000000000015,2.0,3.0,4.0,0.3571428571428572,0.0,5.16275,2.0,3.0,4.0,0.2857142857142857,0.0,6.417000000000001,2.0,3.0,4.0,0.07142857142857142
0,小北花圈站,仓边路站,2022-03-07,10,0,4.105086956521739,2.0,1.0,6,0.3484848484848485,0,3.8832,2.0,1.0,7,0.1515151515151515,0.0,2.792928571428572,1.0,1.0,5.0,0.2121212121212121,0.0,3.84175,2.0,1.0,6.0,0.1212121212121212,0.0,2.659,1.0,1.0,3.0,0.1666666666666667
0,地铁白云公园站,德康路站,2022-03-07,10,0,13.39575,2.0,5.0,5,0.3076923076923077,0,12.60016666666667,2.0,5.0,5,0.4615384615384616,0.0,13.667,2.0,6.0,12.0,0.07692307692307693,0.0,17.3835,1.2,6.0,4.0,0.1538461538461539,,,,,,
0,逢源路站,华贵路口站,2022-03-07,11,0,4.602428571428572,2.0,2.0,5,0.5384615384615384,0,3.422333333333334,1.0,1.0,4,0.4615384615384616,,,,,,,,,,,,,,,,,,
0,体育中心站,岑村站,2022-03-07,17,0,49.94285714285714,2.0,11.0,7,0.3684210526315789,0,51.89574999999999,2.0,12.0,10,0.631578947368421,,,,,,,,,,,,,,,,,,
0,员村山顶站,黄埔大道（羊城创意园）站,2022-03-07,8,0,10.5915,2.0,5.0,4,0.1666666666666667,0,7.844666666666666,2.0,4.0,7,0.25,0.0,8.592,2.0,5.0,5.0,0.1666666666666667,0.0,10.65,2.0,5.0,6.0,0.25,0.0,9.442,2.0,5.0,5.0,0.1666666666666667
0,富力桃园（增埗村）总站,富力环市西苑（西村）站,2022-03-07,15,0,8.0,2.0,2.0,2,0.9230769230769232,0,17.35,1.0,6.0,1,0.07692307692307693,,,,,,,,,,,,,,,,,,
0,黄边南路站,黄边北路站,2022-03-07,8,0,23.53725,2.0,10.0,3,0.1052631578947368,0,6.6845333333333325,1.0,4.0,5,0.3947368421052632,0.0,7.405666666666666,2.0,4.0,4.0,0.07894736842105263,0.0,7.512499999999998,2.0,4.0,2.0,0.1052631578947368,0.0,7.78175,2.0,4.0,4.0,0.3157894736842105
0,锦城花园(四五八医院）站,广医站,2022-03-07,18,0,19.98883333333333,2.0,7.0,8,0.3,0,22.541999999999998,2.0,8.0,4,0.1,0.0,24.53866666666667,2.0,11.0,3.0,0.15,0.0,23.79375,2.0,8.0,11.0,0.4,0.0,22.733,2.0,7.0,3.0,0.05
0,同德围站,德康路站,2022-03-07,7,0,2.9665,2.0,1.0,8,0.1666666666666667,0,4.092000000000001,0.0,1.0,8,0.1666666666666667,0.0,3.1665,1.0,1.0,4.0,0.1666666666666667,0.0,3.25,2.0,1.0,6.0,0.1666666666666667,0.0,2.93325,2.0,1.0,15.0,0.3333333333333333
0,宝岗大道中站,西基东站,2022-03-07,15,0,7.761,2.0,3.0,4,0.09677419354838708,0,6.713200000000001,1.2,3.0,5,0.1612903225806452,0.0,6.513111111111113,2.0,3.0,7.0,0.2903225806451613,0.0,6.057142857142857,2.0,3.0,12.0,0.4516129032258064,,,,,,
0,荔湾路站,站前路站,2022-03-07,10,0,15.5,0.0,5.0,2,0.08333333333333333,0,17.61666666666667,2.0,5.0,4,0.25,0.0,17.633,0.0,5.0,5.0,0.08333333333333333,0.0,15.0002,2.0,5.0,5.0,0.4166666666666667,0.0,14.3335,2.0,4.0,4.0,0.1666666666666667
0,人和华成路口站,人和墟站,2022-03-07,8,0,13.633,4.0,4.0,2,0.05555555555555555,0,7.681125,2.0,2.0,5,0.4444444444444444,0.0,7.768555555555554,2.0,3.0,9.0,0.5,,,,,,,,,,,,
0,宝业路口站,梅园西（地铁凤凰新村站）,2022-03-07,10,0,5.6665,0.0,2.0,10,0.1538461538461539,0,8.0902,1.0,3.0,5,0.3846153846153846,0.0,7.144500000000002,1.2,3.0,12.0,0.4615384615384616,,,,,,,,,,,,
0,康王北路站,富力半岛花园站,2022-03-07,15,0,13.898,1.0,4.0,11,0.5333333333333333,0,16.52233333333334,2.0,3.0,6,0.2,0.0,13.1,2.0,3.0,12.0,0.2666666666666667,,,,,,,,,,,,
0,东湖新村站,海印桥南站,2022-03-07,9,0,4.4830000000000005,1.2,1.0,5,0.07692307692307693,0,3.0532,2.0,1.0,9,0.3846153846153846,0.0,3.4284285714285714,2.0,1.0,7.0,0.5384615384615384,,,,,,,,,,,,
0,荔湾路口站,桥东小区站,2022-03-07,21,0,15.90377777777778,2.0,4.0,8,0.75,0,18.205666666666673,2.0,4.0,5,0.25,,,,,,,,,,,,,,,,,,
0,白云农批市场站,天平架站,2022-03-07,7,0,22.625,3.0,8.0,5,0.1818181818181818,0,20.39822222222222,1.0,8.0,9,0.8181818181818182,,,,,,,,,,,,,,,,,,
0,鹭江站,卷烟一厂站,2022-03-07,16,0,9.261166666666668,2.0,4.0,10,0.4615384615384616,0,11.1868,2.0,4.0,11,0.3846153846153846,0.0,11.717,2.0,4.0,9.0,0.07692307692307693,0.0,11.9,0.0,4.0,6.0,0.07692307692307693,,,,,,
0,黄边北路中站,黄边北路站,2022-03-07,18,0,1.7585,0.6,1.0,1,0.125,0,1.979,2.0,1.0,5,0.25,0.0,2.216600000000001,1.0,1.0,5.0,0.3125,0.0,2.139,2.0,1.0,3.0,0.1875,0.0,2.225,2.0,1.0,2.0,0.125
0,番禺广场站,何贤医院（清河东路）站,2022-03-07,8,0,7.242000000000001,2.0,3.0,3,0.1818181818181818,0,6.582999999999999,2.0,3.0,3,0.09090909090909093,0.0,8.06225,2.0,3.0,9.0,0.7272727272727273,,,,,,,,,,,,
0,宝岗大道中站,海珠区妇幼站,2022-03-07,11,0,3.1889999999999996,2.0,1.0,5,0.2142857142857143,0,2.5875,2.0,1.0,7,0.2857142857142857,0.0,2.4459999999999997,2.0,1.0,8.0,0.1428571428571428,0.0,2.8416666666666663,2.0,1.0,10.0,0.2142857142857143,0.0,2.55825,2.0,1.0,7.0,0.1428571428571428
0,广州大道南路口站,新滘东路东站,2022-03-07,7,0,13.0032,2.0,6.0,8,0.4166666666666667,0,12.82842857142857,2.0,6.0,12,0.5833333333333334,,,,,,,,,,,,,,,,,,
0,光明北路站,华侨城站,2022-03-07,8,0,14.9898,1.0,6.0,3,0.2941176470588235,0,11.570875,2.0,5.0,7,0.4705882352941176,0.0,11.71675,2.0,5.0,5.0,0.2352941176470588,,,,,,,,,,,,
0,盘福路站,广医站,2022-03-07,16,0,1.6144285714285715,2.0,1.0,8,0.3888888888888889,0,1.6034000000000002,1.0,1.0,8,0.2777777777777778,0.0,1.133333333333333,2.0,1.0,6.0,0.1666666666666667,0.0,1.4780000000000002,1.2,1.0,9.0,0.1666666666666667,,,,,,
0,东坑站,梅花园站,2022-03-07,8,0,8.450000000000001,2.0,3.0,6,0.1764705882352941,0,10.083,2.0,3.0,7,0.05882352941176471,0.0,8.735222222222221,2.0,3.0,11.0,0.5294117647058824,0.0,8.327666666666666,2.0,3.0,7.0,0.1764705882352941,0.0,10.967,2.0,3.0,5.0,0.05882352941176471
0,保利红棉花园站,江南新村站,2022-03-07,11,0,18.9,1.0,7.0,3,0.2307692307692308,0,13.24,2.0,5.0,8,0.7692307692307693,,,,,,,,,,,,,,,,,,
0,正骨医院站,东风东路（陵园西路口）站,2022-03-07,10,0,1.95,2.0,1.0,12,0.1666666666666667,0,2.011,2.0,1.0,4,0.25,0.0,2.1,2.0,1.0,4.0,0.08333333333333333,0.0,1.933333333333333,0.0,1.0,10.0,0.25,0.0,2.3113333333333332,2.0,1.0,7.0,0.25
0,卷烟一厂站,珠影（地铁客村站）站,2022-03-07,7,0,8.702318181818178,2.0,3.0,12,0.3188405797101449,0,7.982526315789473,2.0,3.0,12,0.2753623188405797,0.0,8.4182,2.0,3.0,8.0,0.1449275362318841,0.0,8.434999999999999,2.0,3.0,11.0,0.1449275362318841,0.0,8.600125,2.0,3.0,14.0,0.1159420289855072
