,hour_,normal_ratio,eld_ratio,transfer_time1,avg_time1,full_price1,via_stations1,hourly_cnt1,transfer_time2,avg_time2,full_price2,via_stations2,hourly_cnt2,transfer_time3,avg_time3,full_price3,via_stations3,hourly_cnt3,transfer_time4,avg_time4,full_price4,via_stations4,hourly_cnt4,transfer_time5,avg_time5,full_price5,via_stations5,hourly_cnt5
0,8,0.4814814814814815,0.5185185185185185,0,3.0774,2.0,1.0,11,0,2.9585,2.0,1.0,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,16,0.25,0.75,0,11.917,2.0,3.0,6,0,10.169,2.0,3.0,11,0.0,10.38333333333333,1.2,4.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,8,0.2631578947368421,0.7368421052631579,0,13.54271428571429,2.0,3.0,4,0,14.9134,1.0,3.0,6,0.0,13.6195,1.0,3.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,9,0.2307692307692308,0.7692307692307693,0,9.9375,0.0,2.0,16,0,8.6085,2.0,2.0,6,0.0,7.083333333333332,2.0,2.0,6.0,0.0,8.732999999999999,2.0,2.0,11.0,0.0,8.2,0.0,2.0,5.0
0,18,0.9818181818181818,0.01818181818181818,0,6.345750000000002,2.0,3.0,3,0,6.75,2.0,3.0,8,0.0,9.1665,2.0,2.0,2.0,0.0,7.333500000000001,3.0,2.0,3.0,0.0,7.355333333333334,3.0,3.0,3.0
0,8,0.1875,0.8125,0,8.267000000000001,1.0,2.0,3,0,7.622333333333334,0.0,2.0,13,0.0,6.483,0.0,2.0,8.0,0.0,7.9555,1.0,2.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,9,0.9777777777777776,0.02222222222222222,0,11.47525,2.0,3.0,10,0,10.15533333333333,2.0,3.0,7,0.0,10.475,2.0,3.0,8.0,0.0,10.429,2.0,3.0,4.0,0.0,9.09822222222222,2.0,3.0,6.0
0,8,0.9523809523809524,0.047619047619047616,0,17.29492307692308,2.0,6.0,7,0,17.97233333333334,2.0,7.0,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,8,0.8780487804878049,0.1219512195121951,0,17.8125,2.0,3.0,8,0,16.325,2.0,3.0,7,0.0,16.861,1.0,3.0,4.0,0.0,17.717,2.0,3.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,16,0.9130434782608696,0.08695652173913042,0,17.5132,2.0,9.0,4,0,19.51671428571429,2.0,-1.0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,11,0.1568627450980392,0.8431372549019608,0,1.6034000000000002,2.0,1.0,9,0,1.8232,2.0,1.0,6,0.0,1.2335,2.0,1.0,5.0,0.0,1.655333333333333,0.0,1.0,4.0,0.0,2.5165,0.0,1.0,5.0
0,17,0.9375,0.0625,0,8.710545454545455,2.0,4.0,8,0,8.2,2.0,4.0,3,0.0,8.3335,2.0,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,19,0.9444444444444444,0.05555555555555555,0,4.925000000000002,2.0,2.0,7,0,12.154636363636369,2.0,1.0,16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,9,0.1111111111111111,0.8333333333333334,0,3.9776666666666665,0.0,1.0,4,0,3.59575,1.0,1.0,8,0.0,2.717,2.0,1.0,4.0,0.0,3.333,2.0,1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,8,0.7894736842105263,0.2105263157894737,0,9.5585,2.0,4.0,8,0,9.11675,2.0,3.0,6,0.0,8.33775,2.0,4.0,5.0,0.0,9.633,2.0,4.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,8,0.9722222222222222,0.02777777777777778,0,31.5866,2.0,4.0,5,0,16.48559090909091,2.0,1.0,7,0.0,27.95533333333333,2.0,4.0,6.0,0.0,18.361538461538462,2.0,1.0,5.0,0.0,27.20533333333333,2.0,4.0,4.0
0,7,0.9444444444444444,0.05555555555555555,0,34.798,2.0,7.0,5,0,31.1817,2.0,8.0,12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,16,0.631578947368421,0.3684210526315789,0,17.417,1.0,4.0,4,0,14.47033333333333,2.0,3.0,7,0.0,17.025,2.0,4.0,4.0,0.0,16.2915,2.0,3.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,9,0.15,0.85,0,2.717,1.0,1.0,6,0,2.175,0.0,1.0,5,0.0,2.238666666666667,0.5,1.0,9.0,0.0,2.7915,0.0,1.0,11.0,0.0,2.40425,2.0,1.0,16.0
