route_list,hour_,route_id,route_dir,origin_station_name,origin_station_id,destination_station_name,destination_station_id,transfer_time,vehicle_flag_list,cc,avg_time,origin_date,full_price,origin_hour,via_stations,hourly_cnt,normal_cnt,normal_ratio,eld_cnt,eld_ratio,cnt_rnk,od_ratio
78580#1,08,78580,1,华南碧桂园（北行）站,10005107,地铁汉溪长隆A站,10011592,0,0,3,7.155666666666666,2022-03-31,1.2,2022-03-31#08,1.0,2,94,0.9690721649484536,3,0.03092783505154639,2,0.04477611940298507
711#1,09,711,1,华景北路站,10004835,五山路口站,10000535,0,0,9,6.518666666666667,2022-03-31,2.0,2022-03-31#09,3.0,7,66,0.7764705882352941,19,0.2235294117647059,3,0.2368421052631579
1491#0,09,1491,0,华景北路站,10004835,五山路口站,10000535,0,0,16,7.8614999999999995,2022-03-31,2.0,2022-03-31#09,3.0,8,66,0.7764705882352941,19,0.2235294117647059,1,0.4210526315789473
227#1,09,227,1,华景北路站,10004835,五山路口站,10000535,0,0,13,7.545000000000001,2022-03-31,2.0,2022-03-31#09,4.0,7,66,0.7764705882352941,19,0.2235294117647059,2,0.3421052631578947
227#1,18,227,1,华景北路站,10004835,五山路口站,10000535,0,0,10,7.699799999999999,2022-03-31,2.0,2022-03-31#18,4.0,5,60,0.9375,4,0.0625,1,0.4761904761904762
1491#0,18,1491,0,华景北路站,10004835,五山路口站,10000535,0,0,6,7.635999999999999,2022-03-31,2.0,2022-03-31#18,3.0,7,60,0.9375,4,0.0625,2,0.2857142857142857
711#1,18,711,1,华景北路站,10004835,五山路口站,10000535,0,0,5,6.82,2022-03-31,2.0,2022-03-31#18,3.0,4,60,0.9375,4,0.0625,3,0.2380952380952381
261#1,18,261,1,华林寺站,5100,康王北路站,10005988,0,0,3,6.089,2022-03-31,1.0,2022-03-31#18,2.0,5,28,0.9333333333333332,2,0.06666666666666667,5,0.1304347826086956
81#0,18,81,0,华林寺站,5100,康王北路站,10005988,0,0,3,7.111333333333334,2022-03-31,1.2,2022-03-31#18,2.0,7,28,0.9333333333333332,2,0.06666666666666667,4,0.1304347826086956
120#0,18,120,0,华林寺站,5100,康王北路站,10005988,0,0,5,6.610200000000001,2022-03-31,0.5,2022-03-31#18,2.0,7,28,0.9333333333333332,2,0.06666666666666667,3,0.2173913043478261
